source_row_number,sample_id,alternative_id,source_publication_label,source_dataset_label,country,site_or_location,latitude,longitude,date_median_year_ce,lineage_focus,s1_visible_comparator,s1_marker_role,coordinate_status,coordinate_source,within_s1_map_bounds,within_s1_temporal_window,publication_label_review_ready,dataset_label_review_ready,elevation_cross_reference_status,visible_assignment_audit,point_audit_status,failed_checks,claim_boundary
11,SZ27.AG,SZ27,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,481.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
12,SZ28.AG,SZ28,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
13,SZ30.AG,SZ30,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
14,SZ31.AG,SZ31,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
15,SZ32.AG,SZ32,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
16,SZ35.AG,SZ35,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
17,SZ37.AG,SZ37,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,513.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
18,SZ38.AG,SZ38,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
19,SZ40.AG,SZ40,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
20,SZ41.AG,SZ41,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
21,SZ42.AG,SZ42,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
22,SZ6.AG,SZ6,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
23,SZ7.AG,SZ7,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
24,SZ8.AG,SZ8,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
25,SZ9.AG,SZ9,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
26,SZ11.SG,SZ11,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
27,SZ15.SG,SZ15,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
28,SZ1.SG,SZ1,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,-1900.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
29,SZ2.SG,SZ2,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
30,SZ36.SG,SZ36,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
31,SZ3.SG,SZ3,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
32,SZ43.SG,SZ43,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,521.5,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
33,SZ45.SG,SZ45,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
34,SZ4.SG,SZ4,"Amorim et al., Nature Communications 2018",AADR v66 1240K public annotation,Hungary,"Szólád (Somogy County, Kaposvár)",46.283333,17.85,525.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
35,I3313.AG,I3313,"Mathieson et al., Nature 2018",AADR v66 1240K public annotation,Croatia,"Jazinka Cave (Split-Dalmatia County, Općina Muć)",43.705878,16.520021,-701.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
36,I4331.AG,I4331,"Mathieson et al., Nature 2018",AADR v66 1240K public annotation,Croatia,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",43.194,17.344,-1567.5,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
37,I4332.AG,I4332,"Mathieson et al., Nature 2018",AADR v66 1240K public annotation,Croatia,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",43.194,17.344,-1560.5,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
38,I5686.AG,I5686,"Armit et al., Antiquity 2023",AADR v66 1240K public annotation,Slovenia,Dolge njive (Šmarješke Toplice),45.867366,15.279788,-688.0,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
39,I5691.AG,I5691,"Patterson et al., Nature 2021",AADR v66 1240K public annotation,Slovenia,Novo mesto-Kapiteljska njive (Novo mesto),45.81207,15.158908,-665.5,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
40,I5692.AG,I5692,"Patterson et al., Nature 2021",AADR v66 1240K public annotation,Slovenia,Kongresni trg (Ljublijana),46.049733,14.503612,-693.5,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
41,I5693.AG,I5693,"Patterson et al., Nature 2021",AADR v66 1240K public annotation,Slovenia,Kongresni trg (Ljublijana),46.049733,14.503612,-683.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
42,I10168.AG,I10168,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,North Macedonia,"East Necropolis (Skopje, Skupi)",42.01,21.39,-1100.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
43,I10171.AG,I10171,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,North Macedonia,"Vodovrati (Gradsko, Vodovrati-Veles)",41.58,21.87,-1200.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
44,I4664.AG,I4664,"Olalde et al., Cell 2023",AADR v66 1240K public annotation,Serbia,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)",44.552924,22.027563,225.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
45,I5073.AG,I5073,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Koprivno (Split-Dalmatia County, Općina Dugopolje)",43.607274,16.54708,-1637.0,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
46,I5074.AG,I5074,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Matkovici (Split-Dalmatia County, Općina Gradac, Selo)",43.17,17.26,-1447.0,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
47,I5080.AG,I5080,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Zavojane-Ravca, Velika Gomila (Croatia)",44.92,16.05,-1683.0,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate corrected,Southern Arc 2022 Data S1/S4 source override; AADR plotted row had conflicting location string/coordinate,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
48,I5684.AG,I5684,"Armit et al., Antiquity 2023",AADR v66 1240K public annotation,Slovenia,Dolge njive (Šmarješke Toplice),45.867366,15.279788,-670.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
49,I5685.AG,I5685,"Armit et al., Antiquity 2023",AADR v66 1240K public annotation,Slovenia,Dolge njive (Šmarješke Toplice),45.867366,15.279788,-660.5,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
50,I5687.AG,I5687,"Armit et al., Antiquity 2023",AADR v66 1240K public annotation,Slovenia,Dolge njive (Šmarješke Toplice),45.867366,15.279788,-667.5,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
51,I5723.AG,I5723,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",45.900833,15.700288,-452.5,J2b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
52,I5724.AG,I5724,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",45.900833,15.700288,-294.0,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
53,I5725.AG,I5725,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",45.900833,15.700288,-584.5,R1b,Yes,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
54,I5726.AG,I5726,"Lazaridis et al., Science 2022",AADR v66 1240K public annotation,Croatia,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",45.900833,15.700288,-468.5,other,No,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,Yes,Yes,Yes,Yes,Matched to s1_05 row-level elevation source,Consistent with lineage_focus and marker role,Pass,none,"Point-level QA for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
