evidence_layer,sample_or_terminal,site_or_locality,region,latitude,longitude,elevation_m,elevation_band,date_median_year_ce,lineage_focus,visible_comparator,source_dataset_label,source_publication_label,source_trace,claim_boundary
Period-relevant ancient-DNA sample rows,SZ27.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,481.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ28.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ30.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ31.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ32.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ35.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ37.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,513.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ38.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ40.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ41.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ42.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ6.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ7.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ8.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ9.AG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ11.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ15.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ1.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,-1900.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ2.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ36.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ3.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ43.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,521.5,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ45.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,other,No,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SZ4.SG,"Szólád (Somogy County, Kaposvár)",not applicable,46.283333,17.85,194.0,0-199 m,525.0,R1b,Yes,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I3313.AG,"Jazinka Cave (Split-Dalmatia County, Općina Muć)",not applicable,43.705878,16.520021,810.0,>=800 m,-701.0,other,No,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I4331.AG,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",not applicable,43.194,17.344,84.0,0-199 m,-1567.5,J2b,Yes,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I4332.AG,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",not applicable,43.194,17.344,84.0,0-199 m,-1560.5,other,No,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5686.AG,Dolge njive (Šmarješke Toplice),not applicable,45.867366,15.279788,160.0,0-199 m,-688.0,R1b,Yes,AADR v66 1240K public annotation,"Armit et al., Antiquity 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5691.AG,Novo mesto-Kapiteljska njive (Novo mesto),not applicable,45.81207,15.158908,216.0,200-499 m,-665.5,J2b,Yes,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5692.AG,Kongresni trg (Ljublijana),not applicable,46.049733,14.503612,301.0,200-499 m,-693.5,other,No,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5693.AG,Kongresni trg (Ljublijana),not applicable,46.049733,14.503612,301.0,200-499 m,-683.0,other,No,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10168.AG,"East Necropolis (Skopje, Skupi)",not applicable,42.01,21.39,249.0,200-499 m,-1100.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I10171.AG,"Vodovrati (Gradsko, Vodovrati-Veles)",not applicable,41.58,21.87,372.0,200-499 m,-1200.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I4664.AG,"Lepenski-Vir (Bor District, Majdanpek Municipality, Boljetin)",not applicable,44.552924,22.027563,98.0,0-199 m,225.0,other,No,AADR v66 1240K public annotation,"Olalde et al., Cell 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5073.AG,"Koprivno (Split-Dalmatia County, Općina Dugopolje)",not applicable,43.607274,16.54708,462.0,200-499 m,-1637.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5074.AG,"Matkovici (Split-Dalmatia County, Općina Gradac, Selo)",not applicable,43.17,17.26,585.0,500-799 m,-1447.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5080.AG,"Zavojane-Ravca, Velika Gomila (Croatia)",not applicable,44.92,16.05,683.0,500-799 m,-1683.0,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5684.AG,Dolge njive (Šmarješke Toplice),not applicable,45.867366,15.279788,160.0,0-199 m,-670.0,other,No,AADR v66 1240K public annotation,"Armit et al., Antiquity 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5685.AG,Dolge njive (Šmarješke Toplice),not applicable,45.867366,15.279788,160.0,0-199 m,-660.5,R1b,Yes,AADR v66 1240K public annotation,"Armit et al., Antiquity 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5687.AG,Dolge njive (Šmarješke Toplice),not applicable,45.867366,15.279788,160.0,0-199 m,-667.5,R1b,Yes,AADR v66 1240K public annotation,"Armit et al., Antiquity 2023",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5723.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-452.5,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5724.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-294.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5725.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-584.5,R1b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5726.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-468.5,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5727.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-627.0,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5728.AG,"Sveti-Križ-Brdovečki (Zagreb County, Općina Marija Gorica)",not applicable,45.900833,15.700288,296.0,200-499 m,-280.5,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I5729.AG,"Sveti-Petar-Ludbreški (Varaždin County, Općina Mali Bukovec)",not applicable,46.255979,16.692342,143.0,0-199 m,-976.0,G2a,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I7231.AG,"Dimov Grob (Gradsko, Ulanci)",not applicable,41.589371,21.943575,186.0,0-199 m,-1247.0,R1b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I7233.AG,"Vodovrati (Gradsko, Vodovrati-Veles)",not applicable,41.58,21.87,372.0,200-499 m,-854.5,other,No,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,I8471.AG,"Shkrel (Shkodër County, Malësi e Madhe Municipality)",not applicable,42.292307,19.5369,473.0,200-499 m,-1787.5,J2b,Yes,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,ORD001.SG,"Herdonia (Apulia, Foggia, Ordona)",not applicable,41.3167,15.633,108.0,0-199 m,-662.5,other,No,AADR v66 1240K public annotation,"Aneli et al., Molecular Biology and Evolution 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,ORD004.SG,"Herdonia (Apulia, Foggia, Ordona)",not applicable,41.3167,15.633,108.0,0-199 m,-454.5,other,No,AADR v66 1240K public annotation,"Aneli et al., Molecular Biology and Evolution 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,ORD009.SG,"Herdonia (Apulia, Foggia, Ordona)",not applicable,41.3167,15.633,108.0,0-199 m,-578.0,other,No,AADR v66 1240K public annotation,"Aneli et al., Molecular Biology and Evolution 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Period-relevant ancient-DNA sample rows,SAL003.SG,"Salapia (Apulia, Foggia, Cerignola)",not applicable,41.381389,16.02556,1.0,0-199 m,-315.0,other,No,AADR v66 1240K public annotation,"Aneli et al., Molecular Biology and Evolution 2022",Matched by sample_id to row-level elevation source; coordinates and date rechecked against plotted-point source row,"Elevation source row for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
