figure_panel,plotted_layer,sample_id,alternative_id,source_dataset_label,source_publication_label,country,site_or_location,published_group_label,latitude,longitude,date_text,date_median_year_ce,temporal_window,genetic_sex,autosomal_snp_count,mt_haplogroup,y_haplogroup_terminal,y_haplogroup_path,y_haplogroup_isogg,y_lineage_category,lineage_focus,s1_visible_comparator,s1_visibility_assignment_basis,s1_marker_role,coordinate_status,coordinate_source,claim_boundary
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ7.AG,SZ7,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,759609,T2e,I-Y3249,I-Y3249,I2a1b1a2b1,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ8.AG,SZ8,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,210528,n/a (<2x),n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ9.AG,SZ9,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,F,832068,J1b1a1d,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ11.SG,SZ11,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1149833,K2a3a,R-Z326,R-Z326,R1b1a1b1a1a1c2b2b1a,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ15.SG,SZ15,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1149883,H1c1,R-YP986,R-YP986,R1a1a1b1a3a1b3e5~,R1a other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ1.SG,SZ1,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_BA,46.283333,17.85,3000-800 BCE,-1900.0,2500 BCE-550 CE,M,1149848,J1b,R-Y20746,R-Y20746,R1a1a1b2a2a1,R1a other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ2.SG,SZ2,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1148219,T1a1,R-Z8,R-Z8,R1b1a1b1a1a1c2b2a,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ36.SG,SZ36,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1147176,U4c2a,T-A21015,T-A21015,T1a1a1b2a,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ3.SG,SZ3,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1149980,H18,I-Y226798,I-Y226798,I2a1b1a2b1a2b1~,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ43.SG,SZ43,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-1,46.283333,17.85,438-605 calCE (1521±25 BP),521.5,2500 BCE-550 CE,M,1149969,H1e,I-Y3672,I-Y3672,I2a1b1a1b1a1a~,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ45.SG,SZ45,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards-2,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1150009,J1c,I-FGC21810,I-FGC21810,I1a1b1a1a1~,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,SZ4.SG,SZ4,AADR v66 1240K public annotation,"Amorim et al., Nature Communications 2018",Hungary,"Szólád (Somogy County, Kaposvár)",Hungary_Lombards,46.283333,17.85,400-650 CE,525.0,2500 BCE-550 CE,M,1149913,H1c9,R-Z19,R-Z19,R1b1a1b1a1a,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I3313.AG,I3313,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Croatia,"Jazinka Cave (Split-Dalmatia County, Općina Muć)",Croatia_EIA,43.705878,16.520021,"805-597 calBCE (2570±20 BP, PSUAMS-1831)",-701.0,2500 BCE-550 CE,F,808804,HV0e,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I4331.AG,I4331,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Croatia,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",Croatia_MBA,43.194,17.344,"1618-1517 calBCE (3305±20 BP, PSUAMS-2257)",-1567.5,2500 BCE-550 CE,M,725210,I1a1,J-Z38240,J-Z38240,J2b2a1a1a1b~,J2b-L283 or downstream,J2b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I4332.AG,I4332,AADR v66 1240K public annotation,"Mathieson et al., Nature 2018",Croatia,"Veliki-Vanik (Split-Dalmatia County, Grad Vrgorac)",Croatia_MBA,43.194,17.344,"1613-1508 calBCE (3290±20 BP, PSUAMS-2258)",-1560.5,2500 BCE-550 CE,F,743229,W3a1,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I5686.AG,I5686,AADR v66 1240K public annotation,"Armit et al., Antiquity 2023",Slovenia,Dolge njive (Šmarješke Toplice),Slovenia_EIA,45.867366,15.279788,"808-568 calBCE (2569±30 BP, SUERC-69428)",-688.0,2500 BCE-550 CE,M,882927,H1e5a,R-BY163695,R-BY163695,R1b1a1b1a1a2b1c2,R1b western/central-European/Italic-compatible,R1b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I5691.AG,I5691,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Slovenia,Novo mesto-Kapiteljska njive (Novo mesto),Slovenia_EIA,45.81207,15.158908,"787-544 calBCE (2518±28 BP, SUERC-69417)",-665.5,2500 BCE-550 CE,M,771625,I1a,J-Z597,J-Z597,J2b2a1,J2b-L283 or downstream,J2b,Yes,Source-table visible male-line proxy flag,Visible E-V13/J2b/R1b/G2a comparator point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I5692.AG,I5692,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Slovenia,Kongresni trg (Ljublijana),Slovenia_EIA,46.049733,14.503612,"795-592 calBCE (2550±15 BP, PSUAMS-3055)",-693.5,2500 BCE-550 CE,F,892485,U5a1a1,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I5693.AG,I5693,AADR v66 1240K public annotation,"Patterson et al., Nature 2021",Slovenia,Kongresni trg (Ljublijana),Slovenia_EIA,46.049733,14.503612,"796-570 calBCE (2550±20 BP, PSUAMS-3092)",-683.0,2500 BCE-550 CE,F,893466,H2a2a1,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I10168.AG,I10168,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",North Macedonia,"East Necropolis (Skopje, Skupi)",NorthMacedonia_BA,42.01,21.39,1200-1000 BCE,-1100.0,2500 BCE-550 CE,M,6765,..,..,..,..,other/uncertain,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
Supplementary Figure S1 map panel,Published ancient-DNA sample point layer,I10171.AG,I10171,AADR v66 1240K public annotation,"Lazaridis et al., Science 2022",North Macedonia,"Vodovrati (Gradsko, Vodovrati-Veles)",NorthMacedonia_N,41.58,21.87,1300-1100 BCE,-1200.0,2500 BCE-550 CE,F,6428,..,n/a (female),n/a (female),n/a (female),no Y / female / unavailable,other,No,Background ancient-DNA sample,Background ancient-DNA sample point,source coordinate,AADR v66 1240K public annotation,"Plotted point for ancient-DNA coverage and visibility context only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
