scenario_order,matched_R1a_comparator,branch_resolution_layer,degradation_mode,source_visibility_fraction_retained,source_visibility_loss_percent,baseline_source_terminal_count,baseline_receiver_terminal_count,synthetic_source_terminal_count_continuous,baseline_source_country_count,synthetic_source_country_count_continuous,receiver_country_count,source_country_gate_pass,receiver_country_gate_pass,synthetic_source_adequacy_A_s,branch_layer_diversity_contrast_D,source_adequacy_gate_A_s,matched_R1a_A_s_floor,matched_R1a_D_ceiling,PH908_reference_A_s,PH908_reference_D,source_adequacy_gate_fraction_retained,PH908_A_s_equivalent_fraction_retained,basic_compatibility_state,matched_R1a_comparator_state,PH908_like_A_s_state,decision_state,interpretation,source_files,claim_boundary
011,R-Z280,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,1281,144,160.125000,11,1.375000,9,No,Yes,1.111979,-2.091958,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Residualized-count branch layer with 12.5% source visibility retained gives synthetic A_s=1.112 and D=-2.092; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
012,R-Z280,Residualized-count branch layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,1281,144,128.100000,11,1.100000,9,No,Yes,0.889583,-2.091958,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Residualized-count branch layer with 10.0% source visibility retained gives synthetic A_s=0.890 and D=-2.092; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
013,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,1281,144,1281.000000,11,11.000000,9,Yes,Yes,8.895833,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Direct-child cutset layer with 100.0% source visibility retained gives synthetic A_s=8.896 and D=-0.383; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
014,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,1281,144,960.750000,11,8.250000,9,Yes,Yes,6.671875,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Direct-child cutset layer with 75.0% source visibility retained gives synthetic A_s=6.672 and D=-0.383; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
015,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,1281,144,640.500000,11,5.500000,9,Yes,Yes,4.447917,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Direct-child cutset layer with 50.0% source visibility retained gives synthetic A_s=4.448 and D=-0.383; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
016,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,1281,144,320.250000,11,2.750000,9,No,Yes,2.223958,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Direct-child cutset layer with 25.0% source visibility retained gives synthetic A_s=2.224 and D=-0.383; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
017,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,1281,144,160.125000,11,1.375000,9,No,Yes,1.111979,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Direct-child cutset layer with 12.5% source visibility retained gives synthetic A_s=1.112 and D=-0.383; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
018,R-Z280,Direct-child cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,1281,144,128.100000,11,1.100000,9,No,Yes,0.889583,-0.383467,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Direct-child cutset layer with 10.0% source visibility retained gives synthetic A_s=0.890 and D=-0.383; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
019,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,1281,144,1281.000000,11,11.000000,9,Yes,Yes,8.895833,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-2 cutset layer with 100.0% source visibility retained gives synthetic A_s=8.896 and D=-0.423; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
020,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,1281,144,960.750000,11,8.250000,9,Yes,Yes,6.671875,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-2 cutset layer with 75.0% source visibility retained gives synthetic A_s=6.672 and D=-0.423; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
021,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,1281,144,640.500000,11,5.500000,9,Yes,Yes,4.447917,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-2 cutset layer with 50.0% source visibility retained gives synthetic A_s=4.448 and D=-0.423; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
022,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,1281,144,320.250000,11,2.750000,9,No,Yes,2.223958,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-2 cutset layer with 25.0% source visibility retained gives synthetic A_s=2.224 and D=-0.423; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
023,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,1281,144,160.125000,11,1.375000,9,No,Yes,1.111979,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-2 cutset layer with 12.5% source visibility retained gives synthetic A_s=1.112 and D=-0.423; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
024,R-Z280,Depth-2 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.100000,90.000,1281,144,128.100000,11,1.100000,9,No,Yes,0.889583,-0.423059,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-2 cutset layer with 10.0% source visibility retained gives synthetic A_s=0.890 and D=-0.423; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
025,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,1.000000,0.000,1281,144,1281.000000,11,11.000000,9,Yes,Yes,8.895833,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-3 cutset layer with 100.0% source visibility retained gives synthetic A_s=8.896 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
026,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.750000,25.000,1281,144,960.750000,11,8.250000,9,Yes,Yes,6.671875,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-3 cutset layer with 75.0% source visibility retained gives synthetic A_s=6.672 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
027,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.500000,50.000,1281,144,640.500000,11,5.500000,9,Yes,Yes,4.447917,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,Yes,No,No,basic compatible after degradation but outside the matched R1a-comparator envelope,R-Z280 under Depth-3 cutset layer with 50.0% source visibility retained gives synthetic A_s=4.448 and D=-0.590; decision state: basic compatible after degradation but outside the matched R1a-comparator envelope.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
028,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.250000,75.000,1281,144,320.250000,11,2.750000,9,No,Yes,2.223958,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-3 cutset layer with 25.0% source visibility retained gives synthetic A_s=2.224 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
029,R-Z280,Depth-3 cutset layer,deterministic source-terminal and source-country thinning with audited branch-layer collapse,0.125000,87.500,1281,144,160.125000,11,1.375000,9,No,Yes,1.111979,-0.589851,1.000000,8.895833,-2.091958,0.214047,1.323110,0.112412,0.024061,No,No,No,no-call after degradation because source-country visibility falls below threshold,R-Z280 under Depth-3 cutset layer with 12.5% source visibility retained gives synthetic A_s=1.112 and D=-0.590; decision state: no-call after degradation because source-country visibility falls below threshold.,tables/11_branch_unit_reliability_pass_matrix.csv; tables/26_benchmark_audit_card_matrix.csv; source_data/core_figure4_rarefaction_degradation/figure4_synthetic_visibility_fraction_design.csv; source_data/core_figure4_rarefaction_degradation/figure4_rarefaction_degradation_rule_source.csv,"Synthetic degradation control for matched R1a comparators only; deterministic thinning is an operating-characteristic stress test, not a population-size estimate or evidence of geographic origin, ethnic identity, population continuity, chronology, or migration route."
